MANDT;SPRAS;BRSCH;BRTXT
100;MS;86;Pegangan Insurans
100;MS;91;Perdagangan
100;MS;92;Prdgn Farmaseutikal
100;MS;93;Penerbitan dan Media
100;MS;94;Persekitaran
100;MS;99;Pelbagai
100;UK;0001;Стандартна галузь
100;UK;0002;Галузь 0002
100;UK;0003;Галузь 0003
100;UK;01;Диверсифік.портфель
100;UK;02;Фінансові послуги
100;UK;03;Нерухомість
100;UK;10;Енергопостачання
100;UK;11;Нафта, газ
100;UK;12;Сировина
100;UK;13;Дорогоцінні метали
100;UK;21;Хімічна промислов.
100;UK;22;Здоров'я
100;UK;23;Скло
100;UK;24;Будів.промисловість
100;UK;25;Постач.буд.матер.
100;UK;26;Папір і целюлоза
100;UK;27;Ліс і інфраструктура
100;UK;31;Прядіння, ткацтво
100;UK;32;Одяг
100;UK;41;Чорна металургія
100;UK;42;Транспортні засоби
100;UK;43;Постач.трансп.зас.
100;UK;44;Машинобудування
100;UK;45;Спеціалізов.машин.
100;UK;46;Верстатобудування
100;UK;47;Авіабудування
100;UK;51;Пивоварні, напої
100;UK;52;Харчування
100;UK;61;Електрика / елект.
100;UK;62;Комп'ютери та обр.д.
100;UK;63;Програм.забезпечення
100;UK;64;Телекомунікації
100;UK;71;Споживчі товари
100;UK;72;Дорож.рух і трансп.
100;UK;73;Дозвілля та гот.спр.
100;UK;81;Комерційні банки
100;UK;82;Іпотечні банки
100;UK;83;Страхування життя
100;UK;84;Страхування майна
100;UK;85;Перестрахування
100;UK;86;Страхові холдинги
100;UK;91;Торгівля
100;UK;92;Торг.фарм.товарами
100;UK;93;Видав.справа і ЗМІ
100;UK;94;Навколишнє середов.
100;UK;99;Різне
100;ET;0001;Standardtööstus
100;ET;0002;Tegevusala 0002
100;ET;0003;Tegevusala 0003
100;ET;01;Mitmesug. valdusett.
100;ET;02;Finantsteenused
100;ET;03;Kinnisvara
100;ET;10;Energiavarust./-võr.
100;ET;11;Nafta- ja gaasitöös.
100;ET;12;Toorained
100;ET;13;Väärismetallid
100;ET;21;Keemiatööstus
100;ET;22;Tervishoid
100;ET;23;Klaasitööstus
100;ET;24;Ehitustööstus
100;ET;25;Ehitustarbed
100;ET;26;Paberi- ja ts-tööst.
100;ET;27;Puidutöös. ja taris.
100;ET;31;Ketrustööstus
100;ET;32;Laevaehitus
100;ET;41;Raud ja teras
100;ET;42;Sõidukid
100;ET;43;Sõidukitarnija
100;ET;44;Masinaehitus
100;ET;45;Erimehhaanika
100;ET;46;Tööp. ja seadm. eh.
100;ET;47;Õhusõidukite ehitus
100;ET;51;Alk. ja mittealk.j-d
100;ET;52;Toidukaubad
100;ET;61;Elektri- ja el-kaub.
100;ET;62;Arvutid ja andmepak.
100;ET;63;Tarkvara
100;ET;64;Sidevaldkond
100;ET;71;Tarbekaubad
100;ET;72;Liiklus ja transport
100;ET;73;Meelelah. ja hotell
100;ET;81;Kommertspangad
100;ET;82;Hüpoteegipangad
100;ET;83;Elukindlustus
100;ET;84;Mitteelukindlustus
100;ET;85;Edasikindlustus
